sample_index,shape,init_Mach,init_altitude_m,init_T_inf_K,init_rho_kg_m3,init_mu_Pa_s,init_velocity_m_s,cone_half_angle_deg,nose_radius_m,cone_slant_length_m,base_radius_m,x_sensor_m,T_wall_K,Tw_over_Tinf_init,mass_kg,A_ref_m2,roughness_m,transition_detected,transition_time_s,transition_altitude_m,transition_Mach,N_at_transition,Re_x_at_transition,mu_star_at_transition,Re_crit_low_used,Re_crit_high_used
1210,cone,9.285629581175561,73658.9476660507,216.65,4.125898850364803e-05,1.4215474148823518e-05,2739.930500124178,10.773978469479772,0.047566722268482554,10.392834251807793,1.977647803843383,2.301071734916927,466.8543960768776,2.1548783571515235,397.59264722323053,12.28705423804622,0.0008469620706709557,True,112.0,25724.31406912387,0.6497011959581825,9.43186268886641,835267.8535345382,2.052242432504323e-05,834279.7656,1668559.531
1211,cone,11.5899010356646,71475.81381473618,216.65,5.6359186708806924e-05,1.4215474148823518e-05,3419.856786600137,5.229825908751906,0.012769062316444913,37.093441693054224,3.3952378666845804,9.905528154472357,1044.3777707121847,4.82057590912617,1704.2883604513602,36.215149675598994,0.000838668231555725,False,,,,,,,,
1212,cone,6.80793483910485,44683.13126905424,216.65,0.0025896327119769033,1.4215474148823518e-05,2008.8318347671866,8.92238250908622,0.01375706819006028,29.372440830007363,4.61135788142557,4.265036772710448,1049.3076530882522,4.843330962789071,1613.7075474588714,66.80477871902359,0.000389360631887303,True,86.0,25491.300839427768,0.548017784093793,7.517721623200057,884902.0415336118,3.131046115931432e-05,834279.7656,1668559.531
1213,cone,5.141477108300527,60628.273328109244,216.65,0.0002654413460868329,1.4215474148823518e-05,1517.1066023656117,6.794227400707156,0.0061061431353137685,38.49574311872957,4.586405874223087,1.0486457799243172,805.946635309865,3.720039858342326,1663.3302620356494,66.08377482489644,0.0007574725372158681,False,,,,,,,,
1214,cone,9.36092095669244,25344.871849379662,216.65,0.04102265783296508,1.4215474148823518e-05,2762.14688667843,9.349152827630075,0.022011199140153412,1.9342129140310498,0.31844356805365126,0.5291507060689601,1085.2201939960805,5.009093902589801,251.30490268783325,0.3185773060664188,4.425266828096753e-05,True,51.0,10161.458153595682,0.8268010200131527,7.819093144641157,1648813.6396364125,3.206659408827725e-05,834279.7656,1668559.531
1215,cone,9.309840304478461,59000.12781095025,216.65,0.00033495162362881677,1.4215474148823518e-05,2747.074409821175,12.714504993463986,0.03245464273700528,44.869412840229984,10.123695610998363,6.224731228098167,459.92366797798576,2.1228879205076656,456.0473076506773,321.9793580805426,6.441729138854811e-05,False,,,,,,,,
1216,cone,5.613857113186517,99960.08788824546,216.65,9.63255337970664e-07,1.4215474148823518e-05,1656.4927766385765,7.237233653256419,0.01641968318230731,11.522038591992974,1.4631796897083753,3.341008212457948,899.3986138368165,4.151389863082467,1288.4848883926031,6.725819389533363,0.0006189428957218126,False,,,,,,,,
1217,cone,11.02938173295746,65529.67763910254,216.65,0.0001317878301047679,1.4215474148823518e-05,3254.4631619708425,8.947043244568917,0.03974830772423226,17.506330063798984,2.7561462412727216,4.366013145225648,884.1007035121536,4.080778691493901,1044.3592200685916,23.864612545824787,0.0006769861565695521,True,75.0,29898.897941965846,0.8861722005620877,7.667789840589043,851179.9149793491,2.870731534069247e-05,834279.7656,1668559.531
1218,cone,11.566162194099618,72069.73357776739,216.65,5.177459454746301e-05,1.4215474148823518e-05,3412.8521160527175,6.103418861972366,0.04682310555859705,32.966137837488596,3.5250533885151754,5.526662690426321,988.9823198524036,4.564884928928704,1628.1896424406673,39.03743468623404,0.00024125173930270708,True,82.0,29490.707330322315,0.8362370592960383,7.50050020446903,1016438.517695049,3.044016703244078e-05,834279.7656,1668559.531
1219,cone,9.164555729294399,27055.800365243296,216.65,0.032127301565899824,1.4215474148823518e-05,2704.2049807464473,12.187823149109574,0.04170341326704668,42.19026331133397,9.112472557639682,5.019400010773786,719.8582563905215,3.3226783124418255,1168.921032161741,260.8689196219027,0.0005003146568178165,False,,,,,,,,
