Row,M_inf,theta_c_deg,beta_deg,M2,P2_P1,rho2_rho1,T2_T1,status
186,10.750754,7.678764,NaN,NaN,NaN,NaN,NaN,0
187,6.147062,9.053559,16.481700,4.869532,3.381700,2.269333,1.490174,1
188,4.600281,11.026817,21.304479,3.632461,3.092479,2.150665,1.437918,1
189,9.334500,14.687049,NaN,NaN,NaN,NaN,NaN,0
190,10.169445,13.406200,NaN,NaN,NaN,NaN,NaN,0
191,7.144498,12.935429,NaN,NaN,NaN,NaN,NaN,0
192,6.146650,14.471221,NaN,NaN,NaN,NaN,NaN,0
193,7.427060,9.124204,15.119762,5.634437,4.211786,2.572588,1.637179,1
194,10.709394,10.877776,NaN,NaN,NaN,NaN,NaN,0
195,9.081341,11.040221,NaN,NaN,NaN,NaN,NaN,0
196,5.264041,9.296020,18.173647,4.252392,2.978259,2.101694,1.417075,1
197,9.406293,11.382603,NaN,NaN,NaN,NaN,NaN,0
198,10.888033,8.180441,NaN,NaN,NaN,NaN,NaN,0
199,9.942977,6.437916,10.870587,7.770317,3.935593,2.477311,1.588655,1
200,7.627149,13.957508,NaN,NaN,NaN,NaN,NaN,0
201,9.062592,6.020348,10.970824,7.350233,3.303664,2.238041,1.476141,1
202,6.007105,11.229676,NaN,NaN,NaN,NaN,NaN,0
203,11.021634,5.800095,9.787310,8.641371,3.928692,2.474863,1.587438,1
204,11.316581,8.426711,NaN,NaN,NaN,NaN,NaN,0
205,9.036687,8.904216,NaN,NaN,NaN,NaN,NaN,0
206,6.416935,6.327462,NaN,NaN,NaN,NaN,NaN,0
207,7.679367,13.429741,NaN,NaN,NaN,NaN,NaN,0
208,8.405466,7.211476,12.510853,6.625361,3.701327,2.392246,1.547218,1
209,5.532469,5.398551,14.282465,4.888770,2.006693,1.628657,1.232115,1
210,5.027596,13.926991,NaN,NaN,NaN,NaN,NaN,0
211,5.173261,9.874935,18.891583,4.129183,3.106525,2.156602,1.440472,1
212,10.552902,8.509022,NaN,NaN,NaN,NaN,NaN,0
213,9.209536,9.884906,NaN,NaN,NaN,NaN,NaN,0
214,5.594301,6.914023,NaN,NaN,NaN,NaN,NaN,0
215,7.768624,6.793614,12.621998,6.313944,3.195421,2.193758,1.456597,1
216,10.608790,7.437650,NaN,NaN,NaN,NaN,NaN,0
217,5.909492,14.134846,NaN,NaN,NaN,NaN,NaN,0
218,8.796480,14.846500,NaN,NaN,NaN,NaN,NaN,0
219,4.769219,12.775743,NaN,NaN,NaN,NaN,NaN,0
220,4.635646,12.487871,NaN,NaN,NaN,NaN,NaN,0
221,4.790222,14.046393,NaN,NaN,NaN,NaN,NaN,0
222,8.402606,8.956357,NaN,NaN,NaN,NaN,NaN,0
223,5.725983,7.735544,NaN,NaN,NaN,NaN,NaN,0
224,7.949634,14.619901,NaN,NaN,NaN,NaN,NaN,0
225,11.374256,11.352775,NaN,NaN,NaN,NaN,NaN,0
226,4.882770,12.609884,NaN,NaN,NaN,NaN,NaN,0
227,10.949837,12.502983,NaN,NaN,NaN,NaN,NaN,0
228,5.763116,12.054833,NaN,NaN,NaN,NaN,NaN,0
229,8.709795,14.258479,NaN,NaN,NaN,NaN,NaN,0
230,8.917418,9.867909,NaN,NaN,NaN,NaN,NaN,0
231,6.076341,5.664251,13.584998,5.286604,2.209907,1.736858,1.272359,1
232,5.596417,10.655840,18.845670,4.315606,3.645977,2.371544,1.537385,1
233,5.297429,8.010076,NaN,NaN,NaN,NaN,NaN,0
234,11.541392,6.531840,10.299304,8.627749,4.800982,2.759554,1.739768,1
235,9.446672,10.784053,NaN,NaN,NaN,NaN,NaN,0
236,8.158007,13.866682,NaN,NaN,NaN,NaN,NaN,0
237,6.591772,14.908600,NaN,NaN,NaN,NaN,NaN,0
238,8.257335,9.730940,NaN,NaN,NaN,NaN,NaN,0
